items,run,stage,time_s
50000,1,Stage1,
50000,1,Stage3,
50000,1,Stage3,
50000,1,Stage3,
50000,1,Stage1,
50000,1,Stage2,
50000,1,Stage3,
50000,1,Stage1,
50000,1,Stage1,
50000,1,Stage2,
50000,1,Stage3,
50000,1,Stage1,
50000,1,Stage1,
50000,1,Stage2,
50000,1,Stage3,
50000,1,Stage1,
50000,1,Stage2,
50000,1,Stage3,
50000,1,Stage1,
50000,1,Stage1,
50000,1,Stage2,
50000,1,Stage3,
50000,1,Stage1,
50000,1,Stage2,
50000,1,Stage3,
50000,1,Stage2,
50000,1,Stage3,
50000,1,Stage2,
50000,1,Stage2,
50000,1,Stage2,
50000,1,Stage2,0.000332
50000,1,Stage3,0.000279
50000,1,Stage1,0.000423
50000,2,Stage1,
50000,2,Stage1,
50000,2,Stage1,
50000,2,Stage1,
50000,2,Stage1,
50000,2,Stage1,
50000,2,Stage1,
50000,2,Stage1,
50000,2,Stage2,
50000,2,Stage1,
50000,2,Stage1,
50000,2,Stage2,
50000,2,Stage2,
50000,2,Stage2,
50000,2,Stage2,
50000,2,Stage2,
50000,2,Stage2,
50000,2,Stage2,
50000,2,Stage3,
50000,2,Stage2,
50000,2,Stage3,
50000,2,Stage2,
50000,2,Stage3,
50000,2,Stage3,
50000,2,Stage3,
50000,2,Stage3,
50000,2,Stage3,
50000,2,Stage3,
50000,2,Stage3,
50000,2,Stage3,
50000,2,Stage3,0.001189
50000,2,Stage1,0.001428
50000,2,Stage2,0.001503
50000,3,Stage1,
50000,3,Stage1,
50000,3,Stage1,
50000,3,Stage1,
50000,3,Stage1,
50000,3,Stage1,
50000,3,Stage1,
50000,3,Stage1,
50000,3,Stage1,
50000,3,Stage2,
50000,3,Stage1,
50000,3,Stage2,
50000,3,Stage2,
50000,3,Stage2,
50000,3,Stage2,
50000,3,Stage2,
50000,3,Stage2,
50000,3,Stage2,
50000,3,Stage2,
50000,3,Stage2,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,
50000,3,Stage3,0.000737
50000,3,Stage1,0.000894
50000,3,Stage2,0.000875
100000,1,Stage1,
100000,1,Stage1,
100000,1,Stage1,
100000,1,Stage1,
100000,1,Stage1,
100000,1,Stage2,
100000,1,Stage1,
100000,1,Stage1,
100000,1,Stage1,
100000,1,Stage1,
100000,1,Stage1,
100000,1,Stage2,
100000,1,Stage2,
100000,1,Stage2,
100000,1,Stage2,
100000,1,Stage2,
100000,1,Stage2,
100000,1,Stage3,
100000,1,Stage2,
100000,1,Stage3,
100000,1,Stage2,
100000,1,Stage3,
100000,1,Stage2,
100000,1,Stage3,
100000,1,Stage3,
100000,1,Stage3,
100000,1,Stage3,
100000,1,Stage3,
100000,1,Stage3,
100000,1,Stage3,
100000,1,Stage3,0.001558
100000,1,Stage1,0.001819
100000,1,Stage2,0.001853
100000,2,Stage1,
100000,2,Stage1,
100000,2,Stage1,
100000,2,Stage2,
100000,2,Stage1,
100000,2,Stage2,
100000,2,Stage1,
100000,2,Stage2,
100000,2,Stage2,
100000,2,Stage2,
100000,2,Stage2,
100000,2,Stage1,
100000,2,Stage2,
100000,2,Stage1,
100000,2,Stage2,
100000,2,Stage1,
100000,2,Stage2,
100000,2,Stage1,
100000,2,Stage2,
100000,2,Stage1,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,
100000,2,Stage3,0.000380
100000,2,Stage2,0.001239
100000,2,Stage1,0.001729
100000,3,Stage1,
100000,3,Stage1,
100000,3,Stage1,
100000,3,Stage2,
100000,3,Stage1,
100000,3,Stage2,
100000,3,Stage1,
100000,3,Stage2,
100000,3,Stage1,
100000,3,Stage2,
100000,3,Stage1,
100000,3,Stage2,
100000,3,Stage1,
100000,3,Stage2,
100000,3,Stage1,
100000,3,Stage2,
100000,3,Stage1,
100000,3,Stage2,
100000,3,Stage2,
100000,3,Stage2,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage3,
100000,3,Stage1,0.000274
100000,3,Stage3,0.000122
100000,3,Stage2,0.000306
200000,1,Stage1,
200000,1,Stage1,
200000,1,Stage1,
200000,1,Stage2,
200000,1,Stage1,
200000,1,Stage1,
200000,1,Stage2,
200000,1,Stage1,
200000,1,Stage2,
200000,1,Stage1,
200000,1,Stage2,
200000,1,Stage1,
200000,1,Stage2,
200000,1,Stage1,
200000,1,Stage2,
200000,1,Stage1,
200000,1,Stage2,
200000,1,Stage2,
200000,1,Stage2,
200000,1,Stage2,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,
200000,1,Stage3,0.000409
200000,1,Stage1,0.001399
200000,1,Stage2,0.001506
200000,2,Stage1,
200000,2,Stage1,
200000,2,Stage1,
200000,2,Stage2,
200000,2,Stage2,
200000,2,Stage1,
200000,2,Stage1,
200000,2,Stage2,
200000,2,Stage1,
200000,2,Stage2,
200000,2,Stage1,
200000,2,Stage2,
200000,2,Stage1,
200000,2,Stage2,
200000,2,Stage1,
200000,2,Stage2,
200000,2,Stage1,
200000,2,Stage2,
200000,2,Stage2,
200000,2,Stage2,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,
200000,2,Stage3,0.000373
200000,2,Stage1,0.001354
200000,2,Stage2,0.001096
200000,3,Stage2,
200000,3,Stage2,
200000,3,Stage2,
200000,3,Stage2,
200000,3,Stage2,
200000,3,Stage2,
200000,3,Stage1,
200000,3,Stage2,
200000,3,Stage1,
200000,3,Stage2,
200000,3,Stage1,
200000,3,Stage2,
200000,3,Stage1,
200000,3,Stage2,
200000,3,Stage1,
200000,3,Stage1,
200000,3,Stage1,
200000,3,Stage1,
200000,3,Stage1,
200000,3,Stage3,
200000,3,Stage1,
200000,3,Stage3,
200000,3,Stage3,
200000,3,Stage3,
200000,3,Stage3,
200000,3,Stage3,
200000,3,Stage3,
200000,3,Stage3,
200000,3,Stage3,
200000,3,Stage3,
200000,3,Stage2,0.000204
200000,3,Stage1,0.000153
200000,3,Stage3,0.000091
